no,venue_name,venue_lat,venue_lng,venue_address,venue_city,venue_checkinsCount,url,Category
234,Happy Noodle Bar,39.95533049,-75.15540739,927 Race Street,Philadelphia,86,NA,Food & Cafe
235,Lincoln Plaza Fountain,40.77168786,-73.9820531,NA,New York,268,NA,Entertainment & Others
236,Nielsen,40.7041656,-74.01108539,85 Broad Street,New York,2795,http://nielsen.com,Office
237,The Ellington,40.80048522,-73.96568428,936 Amsterdam Ave,New York,2202,http://www.theellingtonny.com,Food & Cafe
238,The Aventine At Oakhurst North,41.76648711,-88.24840233,2800 Pontiac Ct,Aurora,220,NA,Entertainment & Others
239,Brooklyn Botanic Garden Rose Garden,40.67182173,-73.96501848,NA,Brooklyn,1141,NA,Entertainment & Others
240,IBM,40.74369852,-73.98500876,63 Madison Ave,New York,1290,NA,Office
241,TR Street Food & Cafe,42.35094671,-71.04947209,343 Congress St,Boston,293,NA,Food & Cafe
242,"Cold Spring, NY",41.41819834,-73.95798724,NA,NA,62,NA,Entertainment & Others
243,Cafe Hong Kong ,40.715529,-73.997555,51 Bayard St,New York,882,NA,Food & Cafe
244,Legend,40.77795319,-73.97988368,127 West 72nd Street,New York,292,NA,Food & Cafe
245,PlaceIQ,40.74009236,-73.98568023,115 E 23rd St,New York,1641,NA,Office
246,Lei Garden,37.32471,-122.034766,10125 Bandley Dr.,Cupertino,658,NA,Food & Cafe
247,The Cecil,40.80481168,-73.95255804,210 W 118th St,New York,2052,http://www.thececilharlem.com,Food & Cafe
248,The Meatball Shop,40.77163252,-73.95625379,1462 2nd Ave,New York,7113,http://themeatballshop.com,Food & Cafe
249,WeWork Fulton Center,40.71117456,-74.00858402,222 Broadway,New York,6488,http://wework.com,Office
250,Izakaya MEW,40.75027585,-73.98643778,53 W 35th St,New York,3433,http://mewnyc.com,Food & Cafe
251,Bon Me Food & Cafe Truck @ Sowa,42.35213052,-71.05533948,NA,Boston,75,NA,Food & Cafe
252,Pivotal Labs,40.74031445,-73.994742,625 Avenue of the Americas,New York,2945,http://pivotallabs.com,Office
253,Café Grumpy,40.75441285,-73.988676,200 W 39th St,New York,5340,http://www.cafegrumpy.com,Food & Cafe
254,75 West End Avenue,40.77347325,-73.98982953,75 W End Ave,New York,17,NA,Entertainment & Others
255,BuzzFeed,40.74184341,-73.98941159,200 5th Ave,New York,8042,http://www.buzzfeed.com,Office
256,Starbucks,40.75107961,-73.97510858,150 E 42nd St,New York,1308,http://www.starbucks.com/store/11854/,Food & Cafe
257,Xi'an Famous Food & Cafes,40.798439,-73.969017,2675 Broadway,New York,1555,http://www.xianFood & Cafes.com,Food & Cafe
258,Amtrak South Station,42.35122216,-71.05552519,NA,Boston,4067,NA,Transportation
259,Dig Inn Seasonal Market,40.80578267,-73.96560393,2884 Broadway,New York,1398,http://diginn.com,Food & Cafe
260,Bustan,40.78591169,-73.97598096,487 Amsterdam Ave,New York,523,http://bustannyc.com,Food & Cafe
261,Wasabi Sushi & Bento,40.75482662,-73.98792419,501 7th Ave,New York,2566,https://www.wasabi.uk.com/us/,Food & Cafe
262,McGraw-Hill Education,42.35008994,-71.0503078,281 Summer Street,Boston,69,NA,Office
263,99 Favor Taste 99,40.71773323,-73.99249812,285 Grand St,New York,2346,http://www.favortaste.com,Food & Cafe
264,RAMEN.Co NYC,40.70668525,-74.00687814,191 Pearl Street,New York,1424,http://ramen.co,Food & Cafe
265,Szechuan Gourmet,40.80047126,-73.96769315,239 W 105th St,New York,134,NA,Food & Cafe
266,e's BAR,40.786712,-73.97567,511 Amsterdam Ave,New York,1500,http://e-barnyc.com,Bar
267,Flaming Kitchen <U+8700><U+5BA2>,40.71737289,-73.99533081,97 Bowery,New York,87,NA,Food & Cafe
268,Crimson & Rye,40.75830784,-73.96914527,198 E 54th St,New York,348,http://crimsonandrye.com,Food & Cafe
269,Dig Inn Seasonal Market,40.70435755,-74.01154445,80 Broad St.,New York,444,http://diginn.com,Food & Cafe
